ID,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,CIUDAD,D_Marzo,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,M_MOROSO,MONTO,SEGURO,FUGA,P_FUGA,FUGA_PRIMA
2475,M,288302.0,43,UNV,CAS,55,90.0,SANTIAGO,0,0,0,0,186,0,0,1.0,1800000,NO,1.0,0.8423962593078613,1
2476,F,418679.0,24,TEC,SOL,39,80.0,SANTIAGO,0,364221,0,0,59,0,0,1.0,1300000,SI,0.0,0.3167966902256012,1
2477,F,480865.0,49,UNV,CAS,138,1.0,ARICA,0,0,0,367895,0,0,453,1.0,5000000,NO,1.0,0.5443793535232544,1
2478,F,1454789.0,47,,SOL,138,1.0,ARICA,0,853223,2300459,0,0,0,5512,1.0,8000000,NO,,,0
2479,M,12602.0,47,UNV,CAS,55,90.0,SANTIAGO,0,13569,0,0,333,0,9976,2.0,4900000,SI,1.0,0.9863133430480957,1
2480,F,236240.0,37,UNV,SEP,60,292.0,PUERTO VARAS,0,206488,0,0,15,0,0,1.0,3700000,NO,0.0,0.06649672240018845,1
2481,M,244275.0,50,UNV,CAS,83,85.0,SANTIAGO,0,10585,0,447166,529,2891,95,3.0,2300000,NO,1.0,0.9696909189224243,1
2482,F,1145664.0,41,TEC,VIU,82,85.0,SANTIAGO,0,0,0,0,2,0,2892,1.0,5000000,NO,0.0,0.02316751517355442,0
2483,M,297591.0,27,MED,SOL,31,119.0,SANTIAGO,0,243840,0,27732,627,0,87,1.0,1400000,NO,0.0,0.455520898103714,1
2484,F,213082.0,28,TEC,CAS,103,93.0,SANTIAGO,1926687,381,0,176871,2414,0,51,1.0,1500000,NO,0.0,0.16414764523506165,1
2485,F,154200.0,50,TEC,CAS,90,97.0,SANTIAGO,1309319,1002,0,19576,43,0,122,1.0,2300000,NO,1.0,0.7373500466346741,1
2486,M,1308405.0,47,UNV,CAS,138,1.0,ARICA,0,14185,0,0,7,13690,129,1.0,8000000,NO,1.0,0.7486282587051392,1
2487,F,1040949.0,48,MED,CAS,65,77.0,EL QUISCO,0,308181,0,0,8,0,6263,1.0,7000000,SI,0.0,0.13611382246017456,1
2488,M,1368706.0,48,TEC,CAS,52,93.0,SANTIAGO,0,12355,0,2031206,4255,14497,474,3.0,8000000,NO,1.0,0.6366568207740784,1
2489,M,164431.0,53,UNV,CAS,27,226.0,CONCEPCION,0,0,0,0,0,3288,0,1.0,6000000,NO,1.0,0.7396764159202576,1
2490,M,1112186.0,50,MED,,19,88.0,SANTIAGO,459916,1965669,0,1282610,1427,9696,6199,3.0,8000000,NO,,,0
2491,M,563012.0,34,UNV,,82,84.0,SANTIAGO,0,147588,0,248474,1436,4364,233,2.0,1200000,NO,,,0
2492,M,5754232.0,40,MED,,16,88.0,SANTIAGO,1573239,115544,0,0,1730,0,1,2.0,4700000,NO,,,0
2493,M,450035.0,51,UNV,SOL,138,1.0,ARICA,0,263372,0,0,712,0,0,1.0,1800000,NO,1.0,0.8993779420852661,1
2494,F,2796638.0,45,MED,CAS,102,90.0,SANTIAGO,0,96601,0,0,85,0,22839,3.0,8000000,NO,0.0,0.05409430339932442,1
2495,F,458849.0,40,TEC,CAS,12,13.0,CALAMA,0,203729,0,16810,519,12413,1240,2.0,1800000,NO,0.0,0.3847040832042694,1
2496,F,549158.0,33,MED,SOL,90,99.0,SANTIAGO,0,718490,0,329,74,0,186,1.0,1900000,NO,0.0,0.018702693283557892,0
2497,,2072.0,38,TEC,SOL,30,98.0,SANTIAGO,0,0,0,0,582,389,0,1.0,1200000,NO,,,0
2498,,298786.0,40,UNV,CAS,31,119.0,SANTIAGO,0,53536,0,0,22,0,0,1.0,2000000,NO,,,0
2499,,70688.0,54,MED,CAS,27,226.0,CONCEPCION,0,665835,0,0,0,0,5,1.0,3100000,NO,,,0
2500,,148233.0,45,MED,CAS,59,88.0,SANTIAGO,0,0,0,0,583,1349,0,1.0,6800000,NO,,,0
2501,F,399297.0,55,UNV,CAS,27,226.0,CONCEPCION,0,0,0,240599,0,0,486,1.0,5000000,NO,0.0,0.4006693661212921,1
2502,M,52995.0,32,UNV,SOL,17,88.0,SANTIAGO,0,94790,0,0,102,2432,1,2.0,2200000,NO,0.0,0.478153795003891,1
2503,M,1121075.0,50,MED,VIU,49,110.0,SANTIAGO,368496,0,0,0,256,0,473,1.0,8000000,NO,0.0,0.32643187046051025,1
2504,M,254632.0,48,UNV,CAS,138,1.0,ARICA,0,0,0,273544,0,425,88,1.0,2000000,NO,1.0,0.9035818576812744,1
2505,M,1023546.0,42,TEC,CAS,72,504.0,EL SALVADOR,3484883,505146,0,84980,2826,0,312,1.0,4400000,SI,0.0,0.45987632870674133,1
2506,M,847516.0,36,UNV,SOL,74,272.0,VALDIVIA,0,724856,0,0,0,0,0,,6400000,NO,0.0,0.004193425644189119,0
2507,F,59073.0,42,TEC,SOL,13,16.0,ANTOFAGASTA,3624014,891022,746196,0,1661,0,349,,4500000,SI,0.0,0.0021696132607758045,0
2508,F,6149761.0,30,TEC,SOL,60,291.0,PUERTO MONTT,0,13640,0,113865,912,0,627,1.0,1600000,NO,0.0,0.015353061258792877,0
2509,F,341112.0,27,TEC,SOL,90,88.0,SANTIAGO,0,0,7175046,0,71,0,10695,1.0,2000000,NO,0.0,0.03189147263765335,0
2510,F,3599.0,39,,SOL,61,284.0,OSORNO,0,300357,0,0,73,0,0,1.0,1600000,SI,,,0
2511,M,210789.0,34,,CAS,19,93.0,SANTIAGO,233576,325964,0,280884,274,0,305,3.0,1300000,NO,,,0
2512,F,131755.0,45,,CAS,40,67.0,VINA DEL MAR,566148,125603,0,1200513,1140,0,257,1.0,650000,NO,,,0
2513,M,361649.0,40,,CAS,62,298.0,LLANQUIHUE,0,300538,0,571698,4,6408,70,1.0,6300000,SI,,,0
2514,M,8455.0,40,UNV,CAS,55,90.0,SANTIAGO,0,507,0,53572,649,27220,705,2.0,3000000,NO,1.0,0.9823892712593079,1
2515,M,779979.0,53,UNV,SOL,27,226.0,CONCEPCION,0,0,0,0,1643,361,0,3.0,800000,NO,1.0,0.8820279240608215,1
2516,F,134700.0,49,MED,CAS,44,213.0,LOS ANGELES,419976,0,0,0,1099,0,0,1.0,2600000,SI,0.0,0.36101585626602173,1
2517,F,90453.0,46,TEC,CAS,142,93.0,SANTIAGO,0,62487,0,0,63,9582,0,1.0,4000000,NO,0.0,0.31079480051994324,1
2518,F,46130.0,57,MED,SOL,90,86.0,SANTIAGO,0,2185294,0,2008474,507,0,694,1.0,8000000,SI,0.0,0.00462344428524375,0
2519,M,489172.0,32,MED,CAS,18,105.0,SANTIAGO,313937,0,0,0,682,0,106,1.0,2000000,SI,0.0,0.2770606577396393,1
2520,M,620488.0,54,UNV,SOL,27,226.0,CONCEPCION,0,141677,0,713934,870,0,21666,3.0,2900000,NO,1.0,0.8514329791069031,1
2521,M,11417.0,45,UNV,CAS,90,88.0,SANTIAGO,0,402145,0,1077379,173,0,235,1.0,8000000,NO,1.0,0.9826610684394836,1
2522,M,143663.0,50,TEC,SOL,138,1.0,ARICA,0,238524,0,10783,129,0,1,3.0,1400000,NO,1.0,0.8053467273712158,1
2523,F,154124.0,28,MED,CAS,68,213.0,LOS ANGELES,0,10532,0,0,75,0,12,1.0,2000000,NO,0.0,0.19687522947788239,1
2524,M,422850.0,43,TEC,CAS,17,90.0,SANTIAGO,0,55204,0,947920,5177,0,4896,3.0,5900000,NO,1.0,0.7839234471321106,1
2525,M,39921.0,52,UNV,SOL,52,80.0,SANTIAGO,0,650519,0,24425,1659,0,0,2.0,1000000,NO,1.0,0.9793798923492432,1
2526,M,4823835.0,42,UNV,CAS,55,90.0,SANTIAGO,797106,0,0,0,706,6706,0,1.0,1000000,NO,1.0,0.9844055771827698,1
2527,M,63102.0,42,MED,CAS,31,119.0,SANTIAGO,0,28021,0,18463,31,0,32,1.0,1900000,SI,1.0,0.9516474008560181,1
2528,F,260550.0,53,MED,SOL,70,261.0,VILLARRICA,0,9239,0,0,5,0,0,1.0,4000000,NO,0.0,0.4971008598804474,1
2529,M,582788.0,48,UNV,CAS,138,87.0,SANTIAGO,0,88913,0,206577,6,0,338,1.0,4000000,NO,1.0,0.942642331123352,1
2530,M,925647.0,46,MED,SOL,138,1.0,ARICA,0,1077629,0,0,16,77,0,1.0,4500000,NO,1.0,0.7751301527023315,1
2531,F,2261687.0,28,TEC,SOL,12,502.0,CHUQUICAMATA,0,275552,0,9581,5,0,38,1.0,1600000,NO,0.0,0.016987865790724754,0
2532,M,71123.0,51,TEC,CAS,90,89.0,SANTIAGO,0,1223386,0,1081096,1694,3623,759,1.0,8000000,NO,1.0,0.9412879943847656,1
2533,F,1055754.0,33,TEC,SOL,73,91.0,SANTIAGO,0,168805,0,0,5,0,813,1.0,2100000,NO,0.0,0.019756516441702843,0
2534,F,88971.0,55,MED,SOL,69,55.0,SANTA MARIA,0,0,0,109903,0,0,172,0.0,2400000,SI,0.0,0.004165988881140947,0
2535,F,542764.0,33,MED,SOL,124,253.0,TEMUCO,0,181107,0,243482,102,0,2617,1.0,2200000,NO,0.0,0.03374665230512619,0
2536,F,67895.0,55,TEC,SOL,105,63.0,HIJUELAS,0,54730,0,160562,155,2667,1964,1.0,3600000,SI,0.0,0.08945271372795105,1
2537,M,667015.0,45,UNV,CAS,31,119.0,SANTIAGO,0,439368,0,142073,0,0,201,1.0,2000000,NO,1.0,0.9521632790565491,1
2538,M,571434.0,43,MED,CAS,152,115.0,SANTIAGO,728021,419816,0,480700,476,0,483,1.0,550000,NO,1.0,0.6096037030220032,1
2539,M,492246.0,42,MED,CAS,138,1.0,ARICA,715526,0,0,0,1286,57308,0,1.0,2200000,NO,0.0,0.2858526408672333,1
2540,F,605364.0,45,TEC,CAS,68,213.0,LOS ANGELES,0,0,0,424467,0,0,136,0.0,4100000,NO,0.0,0.0050071305595338345,0
2541,M,1704661.0,59,UNV,SOL,101,98.0,SANTIAGO,0,336227,0,594927,642,0,1517,1.0,8000000,NO,0.0,0.04954344406723976,1
2542,F,13520.0,56,TEC,SOL,132,95.0,SANTIAGO,0,637068,0,0,0,0,30,0.0,8000000,SI,0.0,0.0012641401262953877,0
2543,F,263009.0,51,TEC,CAS,92,88.0,SANTIAGO,0,280095,0,382869,404,0,12427,2.0,2300000,NO,1.0,0.5073961019515991,1
2544,M,141807.0,46,UNV,SOL,74,272.0,VALDIVIA,0,1632257,0,0,46,17434,0,1.0,7600000,NO,1.0,0.7719402313232422,1
2545,F,480219.0,58,TEC,SOL,85,88.0,SANTIAGO,0,73847,0,124224,27,0,383,1.0,3600000,NO,0.0,0.051452554762363434,1
2546,M,351215.0,26,TEC,CAS,37,85.0,SANTIAGO,0,0,0,0,21,0,33,1.0,5900000,NO,1.0,0.7018786668777466,1
2547,M,59904.0,51,UNV,CAS,52,115.0,SANTIAGO,0,241707,0,38070,0,2316,128,1.0,2600000,NO,1.0,0.9886981844902039,1
2548,F,362161.0,41,TEC,CAS,27,226.0,CONCEPCION,0,11271,0,695765,183,0,199,2.0,3200000,NO,0.0,0.36293870210647583,1
2549,M,489687.0,52,TEC,SOL,90,96.0,SANTIAGO,0,565384,0,74,1,0,0,1.0,3100000,SI,1.0,0.8996420502662659,1
2550,F,187984.0,29,TEC,SOL,68,213.0,LOS ANGELES,0,642,0,94337,119,0,80,1.0,1600000,NO,0.0,0.07136495411396027,1
2551,M,8080.0,54,MED,CAS,55,90.0,SANTIAGO,0,595286,0,0,66,0,1577,1.0,4000000,NO,1.0,0.9884518384933472,1
2552,M,1904543.0,40,TEC,CAS,128,88.0,SANTIAGO,0,196056,0,0,24,0,0,2.0,8000000,NO,0.0,0.21614216268062592,1
2553,F,513376.0,32,TEC,CAS,39,105.0,SANTIAGO,0,76308,0,11901,23,861,85,2.0,1200000,NO,0.0,0.2784213125705719,1
2554,M,324796.0,46,UNV,CAS,31,119.0,SANTIAGO,0,27632,0,13559,0,0,92,1.0,1700000,NO,1.0,0.960917055606842,1
2555,F,393576.0,43,MED,SOL,152,89.0,SANTIAGO,0,0,0,0,172,0,0,2.0,1400000,NO,0.0,0.3962520360946655,1
2556,F,35540.0,44,MED,CAS,31,119.0,SANTIAGO,0,23749,1605597,493055,620,0,941,1.0,3400000,NO,0.0,0.24684056639671326,1
2557,F,34075.0,50,MED,SOL,41,88.0,SANTIAGO,0,91752,0,325543,9,0,0,1.0,2400000,SI,0.0,0.0635877177119255,1
2558,F,38503.0,30,UNV,CAS,12,13.0,CALAMA,0,89061,0,342047,0,0,0,1.0,1800000,NO,0.0,0.1385493129491806,1
2559,M,144916.0,50,TEC,SOL,138,1.0,ARICA,0,131899,0,157272,198,0,251,2.0,1700000,NO,1.0,0.8589352369308472,1
2560,F,55498.0,58,MED,SEP,30,90.0,SANTIAGO,0,855820,0,0,142,0,0,1.0,3200000,SI,0.0,0.005393152125179768,0
2561,M,599862.0,52,UNV,CAS,90,94.0,SANTIAGO,0,395008,0,0,152,0,0,1.0,3200000,NO,1.0,0.9444202780723572,1
2562,F,12190.0,48,TEC,SOL,16,89.0,SANTIAGO,0,0,0,0,0,5713,0,0.0,5000000,SI,0.0,0.0018495754338800907,0
2563,M,357022.0,47,UNV,CAS,122,89.0,SANTIAGO,0,7348,0,703031,732,32094,1499,2.0,2100000,NO,1.0,0.9607183337211609,1
2564,M,690314.0,35,TEC,SOL,10,5.0,IQUIQUE,0,19622,5136715,933258,6789,0,50188,2.0,7800000,NO,0.0,0.02990415319800377,0
2565,M,316200.0,28,TEC,CAS,66,253.0,TEMUCO,0,198302,0,167977,0,0,129,0.0,3200000,NO,0.0,0.011242780834436417,0
2566,F,405747.0,58,TEC,CAS,72,504.0,EL SALVADOR,0,372553,0,0,147,0,218,1.0,1400000,NO,0.0,0.0737593024969101,1
2567,M,118550.0,53,TEC,CAS,27,226.0,CONCEPCION,0,56593,0,198734,505,0,94,3.0,1500000,NO,1.0,0.872559666633606,1
2568,M,1159148.0,43,UNV,CAS,55,90.0,SANTIAGO,0,157256,0,0,0,0,15,1.0,1600000,NO,1.0,0.9789127707481384,1
2569,F,902031.0,55,MED,CAS,90,103.0,SANTIAGO,0,86378,0,0,32,1106,29,1.0,6000000,NO,0.0,0.12572318315505981,1
2570,F,8150.0,50,MED,SOL,16,124.0,CURACAVI,0,218023,0,180206,102,0,481,1.0,1600000,SI,0.0,0.045598991215229034,1
2571,F,53475.0,51,MED,CAS,13,16.0,ANTOFAGASTA,0,455749,0,0,0,0,6691,0.0,8000000,NO,0.0,0.002741636708378792,0
2572,F,3743501.0,38,TEC,SOL,42,31.0,COQUIMBO,0,64474,0,28519,419,0,0,1.0,3100000,NO,0.0,0.008498484268784523,0
2573,M,11432.0,40,UNV,CAS,55,90.0,SANTIAGO,0,176094,0,875752,3,0,740,1.0,3800000,NO,1.0,0.9437329173088074,1
2574,M,643128.0,50,UNV,CAS,29,91.0,SANTIAGO,0,337613,29397,452096,0,0,1501,1.0,3100000,NO,1.0,0.954866886138916,1
2575,M,4469661.0,41,UNV,CAS,55,90.0,SANTIAGO,988878,5870,0,52643,1545,0,205,2.0,3400000,NO,1.0,0.9925150275230408,1
2576,F,26048.0,48,TEC,SOL,12,13.0,CALAMA,0,100867,0,751441,0,0,378,0.0,8000000,SI,0.0,0.001591572305187583,0
2577,M,447067.0,37,UNV,SOL,27,227.0,TALCAHUANO,0,148672,0,0,1,1728,0,1.0,1600000,NO,0.0,0.059964895248413086,1
2578,M,373003.0,42,MED,CAS,92,511.0,SANTIAGO,0,110727,0,125395,191,152,82,2.0,3600000,NO,1.0,0.8320919275283813,1
2579,M,4469253.0,42,UNV,CAS,122,115.0,SANTIAGO,0,1349,0,19827,244,0,10,2.0,1600000,SI,1.0,0.990796685218811,1
2580,M,998257.0,46,MED,SEP,19,115.0,SANTIAGO,0,586561,0,0,95,0,2,2.0,4700000,NO,1.0,0.8989856839179993,1
2581,M,3652650.0,41,MED,CAS,55,90.0,SANTIAGO,0,317335,0,395097,90,0,68,1.0,1300000,NO,1.0,0.9130080938339233,1
2582,F,6366671.0,38,TEC,VIU,118,85.0,SANTIAGO,0,480019,0,9325,521,18169,0,1.0,4700000,NO,0.0,0.010234203189611435,0
2583,F,2867.0,52,MED,SOL,98,122.0,MELIPILLA,0,405331,0,0,74,0,0,1.0,8000000,SI,0.0,0.020324591547250748,0
2584,M,3475166.0,44,MED,CAS,55,90.0,SANTIAGO,0,60223,0,46603,74,0,214,1.0,1900000,NO,1.0,0.962203860282898,1
2585,M,17516.0,44,MED,CAS,55,90.0,SANTIAGO,0,0,0,899586,122,0,1733,1.0,4800000,SI,1.0,0.9764605164527893,1
2586,M,415763.0,54,UNV,SOL,92,88.0,SANTIAGO,0,690518,0,0,125,0,0,1.0,4200000,NO,1.0,0.9316321611404419,1
2587,M,177772.0,44,MED,CAS,138,1.0,ARICA,1311765,383115,0,0,1360,0,0,1.0,4100000,SI,1.0,0.6935144662857056,1
2588,F,621866.0,51,UNV,SOL,138,1.0,ARICA,0,623166,0,101492,129,0,202,1.0,4400000,NO,1.0,0.9110760688781738,1
2589,M,673583.0,55,UNV,CAS,27,226.0,CONCEPCION,0,631691,0,57344,0,0,21,1.0,3400000,SI,1.0,0.8516212105751038,1
2590,M,252673.0,64,TEC,SOL,21,16.0,ANTOFAGASTA,0,354417,0,0,32,0,0,1.0,600000,NO,0.0,0.13129591941833496,1
2591,F,177126.0,41,MED,CAS,90,98.0,SANTIAGO,0,0,0,0,0,6539,0,0.0,1800000,NO,0.0,0.009564850479364395,0
2592,F,1080235.0,38,UNV,CAS,85,91.0,SANTIAGO,0,54155,0,253157,34,27932,5226,1.0,8000000,NO,0.0,0.0134721789509058,0
2593,M,486352.0,42,MED,CAS,13,16.0,ANTOFAGASTA,0,0,0,0,184,16743,0,1.0,800000,NO,0.0,0.2948075830936432,1
2594,M,701827.0,40,,CAS,31,119.0,SANTIAGO,803178,22565,0,976271,1932,0,1186,1.0,3600000,SI,,,0
2595,F,12433.0,32,MED,SOL,125,89.0,SANTIAGO,0,298215,0,0,0,10724,0,0.0,5200000,SI,0.0,0.0020873534958809614,0
2596,M,484823.0,50,TEC,CAS,59,88.0,SANTIAGO,0,0,0,0,0,0,115,1.0,2200000,NO,1.0,0.9029600620269775,1
2597,F,581381.0,55,TEC,SOL,144,89.0,SANTIAGO,0,321202,0,16718,50,1446,398,1.0,8000000,NO,0.0,0.05170160159468651,1
2598,M,2446218.0,43,UNV,CAS,100,86.0,SANTIAGO,0,732567,0,221421,761,1519,158,1.0,4500000,NO,1.0,0.97736656665802,1
2599,M,532919.0,42,UNV,CAS,45,89.0,SANTIAGO,0,1374414,0,0,72,667,1837,1.0,5800000,NO,1.0,0.9461599588394165,1
2600,M,623842.0,34,TEC,CAS,25,93.0,SANTIAGO,0,933631,0,0,2,0,0,1.0,8000000,NO,0.0,0.020025795325636864,0
2601,M,460114.0,52,MED,CAS,31,119.0,SANTIAGO,0,94289,0,0,56,0,0,1.0,2600000,NO,1.0,0.883693516254425,1
2602,M,494296.0,47,UNV,SOL,90,88.0,SANTIAGO,0,40467,0,1648593,884,23473,172,1.0,1300000,NO,1.0,0.9657148718833923,1
2603,M,581915.0,53,MED,CAS,52,93.0,SANTIAGO,176196,808,0,0,33,0,0,1.0,1900000,NO,1.0,0.895051121711731,1
2604,F,56053.0,53,MED,CAS,37,115.0,SANTIAGO,0,5725,0,0,21,0,0,1.0,2400000,NO,0.0,0.42097553610801697,1
2605,F,128410.0,26,EUN,SOL,64,316.0,AYSEN,0,19762,0,67743,1,0,4,1.0,1700000,NO,0.0,0.23412951827049255,1
2606,F,5361419.0,36,TEC,VIU,83,85.0,SANTIAGO,0,3429083,0,1077498,455,0,1226,1.0,1800000,NO,0.0,0.005279355216771364,0
2607,M,1804902.0,44,TEC,VIU,50,88.0,SANTIAGO,0,1407847,0,1239107,247,48993,66868,3.0,8000000,NO,0.0,0.289500892162323,1
2608,F,504244.0,54,TEC,CAS,27,226.0,CONCEPCION,286874,160082,0,209025,937,0,80,1.0,900000,NO,1.0,0.6739923357963562,1
2609,M,277206.0,53,TEC,SOL,27,226.0,CONCEPCION,2542435,5872,0,256756,397,0,193,1.0,800000,NO,1.0,0.8458440899848938,1
2610,F,140436.0,32,TEC,VIU,85,87.0,SANTIAGO,0,261440,0,0,46,0,0,1.0,2700000,NO,0.0,0.042070258408784866,0
2611,M,431108.0,51,UNV,CAS,127,97.0,SANTIAGO,0,30775,0,922297,147,0,25,2.0,2200000,NO,1.0,0.969515323638916,1
2612,M,764719.0,44,UNV,CAS,55,90.0,SANTIAGO,136653,0,0,0,211,1952,0,1.0,1500000,NO,1.0,0.9161147475242615,1
2613,F,278907.0,48,MED,CAS,66,253.0,TEMUCO,0,0,0,0,0,0,0,0.0,6000000,NO,0.0,0.003960819914937019,0
2614,F,17551.0,47,MED,SOL,13,16.0,ANTOFAGASTA,0,681712,0,126928,333,2696,167,1.0,3700000,SI,0.0,0.05052243545651436,1
2615,M,863233.0,50,MED,CAS,19,88.0,SANTIAGO,449482,2240573,0,685661,1750,18200,20179,3.0,8000000,NO,1.0,0.7777495980262756,1
2616,F,253934.0,28,TEC,SOL,124,253.0,TEMUCO,0,172119,0,38674,59,0,100,1.0,1600000,NO,0.0,0.07207545638084412,1
2617,M,395.0,40,MED,CAS,104,105.0,SANTIAGO,391162,2807,0,21390,536,13634,971,2.0,1400000,NO,1.0,0.9278969764709473,1
2618,M,1838178.0,41,UNV,CAS,55,90.0,SANTIAGO,0,171506,0,43853,142,173,109,1.0,3900000,NO,1.0,0.9596177339553833,1
2619,M,454378.0,50,UNV,SOL,138,1.0,ARICA,0,146581,0,0,32,3347,63,3.0,500000,NO,1.0,0.9116081595420837,1
2620,F,679.0,55,MED,VIU,48,88.0,SANTIAGO,0,5174,0,0,184,0,0,1.0,1600000,SI,0.0,0.06553635746240616,1
2621,F,137215.0,45,MED,CAS,40,67.0,VINA DEL MAR,2024023,59974,0,369928,2707,0,901,1.0,650000,NO,0.0,0.27629441022872925,1
2622,F,328598.0,48,UNV,CAS,90,105.0,SANTIAGO,0,454136,0,0,0,13010,191,1.0,1300000,NO,1.0,0.9684529900550842,1
2623,M,989525.0,58,UNV,SOL,12,13.0,CALAMA,0,343618,0,64120,39,0,0,1.0,4600000,NO,0.0,0.22575587034225464,1
2624,F,82385.0,40,TEC,SOL,15,67.0,VINA DEL MAR,0,1773858,0,0,0,11317,8599,0.0,8000000,SI,0.0,0.0032987843733280897,0
2625,M,35106.0,54,UNV,SOL,127,93.0,SANTIAGO,0,294680,0,227665,309,0,117,1.0,1300000,SI,1.0,0.9778925776481628,1
2626,F,68741.0,54,MED,SOL,68,213.0,LOS ANGELES,0,678396,0,0,32,0,0,1.0,3700000,SI,0.0,0.09469368308782578,1
2627,M,7769.0,42,MED,CAS,52,80.0,SANTIAGO,0,155037,0,263459,143,12700,96,1.0,1900000,NO,1.0,0.9670261740684509,1
2628,F,117778.0,49,UNV,VIU,27,226.0,CONCEPCION,428139,77416,0,167885,916,0,802,1.0,4200000,NO,1.0,0.9455732703208923,1
2629,F,77783.0,62,TEC,SOL,90,90.0,SANTIAGO,0,186811,0,0,12,0,0,1.0,4200000,SI,0.0,0.005223405081778765,0
2630,M,390497.0,30,MED,SOL,56,131.0,RANCAGUA,0,94890,0,0,921,6786,66,2.0,900000,NO,0.0,0.2357863336801529,1
2631,F,1297053.0,38,MED,VIU,15,67.0,VINA DEL MAR,0,29156,0,762764,1036,0,690,3.0,4500000,NO,0.0,0.022546781226992607,0
2632,M,265266.0,30,UNV,CAS,27,226.0,CONCEPCION,546453,3821,0,58135,247,0,982,1.0,1100000,NO,1.0,0.561206042766571,1
2633,F,657637.0,56,TEC,CAS,64,314.0,COYHAIQUE,866450,697090,0,0,0,0,0,1.0,8000000,NO,0.0,0.006932755932211876,0
2634,M,1849257.0,35,MED,CAS,10,5.0,IQUIQUE,0,29344,10718684,520413,3106,0,83080,2.0,7800000,NO,0.0,0.033990927040576935,0
2635,F,148017.0,30,TEC,CAS,84,80.0,SANTIAGO,0,42,0,0,42,0,0,1.0,2900000,SI,0.0,0.09604734182357788,1
2636,M,262897.0,45,UNV,SOL,25,85.0,SANTIAGO,0,185560,2901363,1730,384,0,1369,3.0,4900000,SI,1.0,0.9825647473335266,1
2637,M,67061.0,35,UNV,CAS,90,100.0,SANTIAGO,0,48673,0,35368,14,0,0,1.0,2700000,NO,0.0,0.10670158267021179,1
2638,F,11677.0,44,TEC,SOL,90,326.0,PUNTA ARENAS,0,0,0,0,995,2799,9765,1.0,2900000,SI,0.0,0.01629798859357834,0
2639,M,8148796.0,42,MED,CAS,73,89.0,SANTIAGO,0,392428,0,185975,1090,0,13,2.0,3200000,NO,1.0,0.9587234854698181,1
2640,F,123222.0,28,MED,SOL,27,226.0,CONCEPCION,0,73243,0,192487,569,0,0,1.0,900000,NO,0.0,0.022990290075540543,0
2641,F,42932.0,56,MED,SOL,139,88.0,SANTIAGO,0,110653,1732377,0,0,0,1965,0.0,8000000,SI,0.0,0.0014929964672774076,0
2642,F,37910.0,50,TEC,SOL,55,89.0,SANTIAGO,0,210227,0,0,0,1865,0,1.0,4600000,SI,0.0,0.06810592859983444,1
2643,M,5391231.0,37,MED,CAS,78,115.0,SANTIAGO,0,42063,0,136012,78,442,0,2.0,1600000,NO,1.0,0.8803618550300598,1
2644,F,1365343.0,40,TEC,SOL,29,93.0,SANTIAGO,0,3092,0,55030,512,0,137,3.0,3000000,SI,0.0,0.10798030346632004,1
2645,F,799851.0,46,MED,CAS,74,272.0,VALDIVIA,0,268414,0,0,6,6521,0,1.0,7600000,NO,0.0,0.03159281238913536,0
2646,M,3548945.0,40,TEC,CAS,28,89.0,SANTIAGO,0,714660,0,0,59,22252,0,1.0,8000000,NO,0.0,0.3681628108024597,1
2647,M,2840.0,29,MED,CAS,76,104.0,SANTIAGO,1069437,18604,0,52649,632,0,593,1.0,2900000,NO,1.0,0.6298249959945679,1
2648,M,134124.0,47,UNV,CAS,138,1.0,ARICA,0,15570,2545546,150659,13,0,1135,1.0,1800000,NO,1.0,0.886731743812561,1
2649,F,247169.0,28,TEC,SOL,44,173.0,TALCA,0,1946,0,92158,446,0,358,3.0,1200000,NO,0.0,0.2008758932352066,1
2650,M,812179.0,41,UNV,CAS,142,93.0,SANTIAGO,0,7473,0,365200,421,0,0,1.0,2800000,SI,1.0,0.8981664776802063,1
2651,F,69749.0,52,TEC,SOL,43,70.0,QUILPUE,0,0,0,0,0,4386,0,0.0,2100000,SI,0.0,0.0023751254193484783,0
2652,M,4522.0,40,TEC,CAS,46,29.0,LA SERENA,0,335294,0,0,67,0,0,2.0,1700000,NO,1.0,0.7918768525123596,1
2653,M,2051192.0,46,UNV,CAS,138,1.0,ARICA,3961350,1143170,0,2553282,11167,19965,21416,3.0,1600000,NO,1.0,0.9547340869903564,1
2654,F,621417.0,39,MED,VIU,73,86.0,SANTIAGO,0,5208,0,0,0,0,0,1.0,1600000,NO,0.0,0.017378654330968857,0
2655,F,45967.0,50,TEC,SOL,13,16.0,ANTOFAGASTA,0,263768,0,0,0,7102,0,0.0,4500000,SI,0.0,0.0028869991656392813,0
2656,M,271849.0,39,MED,CAS,90,105.0,SANTIAGO,456575,336716,0,204034,2288,0,287,1.0,1000000,NO,0.0,0.054123252630233765,1
2657,F,117465.0,33,UNV,SEP,34,31.0,COQUIMBO,0,427405,0,23285,2,929,0,1.0,1300000,NO,0.0,0.06776595860719681,1
2658,F,60004.0,58,MED,SOL,56,131.0,RANCAGUA,0,1078378,0,0,303,8687,44402,1.0,7400000,SI,0.0,0.004384076688438654,0
